instance instanceType n m R beta duplDist seed alpha ubAlg testType tau time ttb iter iterTb bsSteps disp dispReal bal dispFirstFail balFirstFail dispFirstEC dispFirstECReal balFirstEC ubTime ub ubReal ecTime ecTimeMax ecNodes maxEcIter avgDispStep maxDispStep feasible balAlg th1 th2 balTime balTtb bbTime balTimeMax balNodes balCalls avgBalStep maxBalStep geNodes geNumBB avgBbNodes avgBbMoves avgBbDepth numMaxNodeIncr geDidReachTh2 balShakes balVnsShifts balVnsSwaps
weee-500-10-100-10 weee 500 10 124751 1 0 1 0.001 ubs full 1 0.200748 0 0 0 0 2147483647 -1 9.99 NA NA -1 -1 -1 0.13559 2236 0.774812 0 0 0 1 NA 0 0 2ge 2048 262144 0.0391856 0.179576 0.0336355 0 21316 1 NA 0 21316 53 402.189 1.18868 77.5283 1 4 0 NA NA
weee-500-10-100-10 weee 500 10 124751 1 0 1 0.01 ubs full 1 0.172129 0 0 0 0 2147483647 -1 9.9 NA NA -1 -1 -1 0.139878 2236 0.774812 0 0 0 1 NA 0 0 2ge 2048 262144 0.00710533 0.160142 0.00484795 0 3896 1 NA 0 3896 27 144.296 1.03704 59.7407 1 1 0 NA NA
weee-500-10-100-10 weee 500 10 124751 1 0 1 0.05 ubs full 1 0.167124 0 0 0 0 2147483647 -1 9.5 NA NA -1 -1 -1 0.139227 2236 0.774812 0 0 0 1 NA 0 0 2ge 2048 262144 0.00282574 0.156578 0.00155135 0 899 1 NA 0 899 15 59.9333 0.666667 55.9333 0 0 0 NA NA
weee-500-8-100-8 weee 500 8 124751 1 0 1 0.001 ubs full 1 0.832295 0 0 0 0 2147483647 -1 7.992 NA NA -1 -1 -1 0.113952 1290 0.582412 0 0 0 1 NA 0 0 2ge 2048 262144 0.692153 0.820464 0.591308 0 298127 1 NA 0 298127 866 344.258 1.18245 90.8822 34 78 36 NA NA
weee-500-8-100-8 weee 500 8 124751 1 0 1 0.01 ubs full 1 0.313366 0 0 0 0 2147483647 -1 7.92 NA NA -1 -1 -1 0.0714107 1290 0.582412 0 0 0 1 NA 0 0 2ge 2048 262144 0.218428 0.304554 0.166167 0 84528 1 NA 0 84528 507 166.722 1.01183 70.9408 8 11 36 NA NA
weee-500-8-100-8 weee 500 8 124751 1 0 1 0.05 ubs full 1 0.199699 0 0 0 0 2147483647 -1 7.6 NA NA -1 -1 -1 0.0723608 1290 0.582412 0 0 0 1 NA 0 0 2ge 2048 262144 0.104155 0.190932 0.0632614 0 32179 1 NA 0 32179 367 87.6812 0.39782 67.1907 0 0 36 NA NA
weee-700-14-100-10 weee 700 14 244651 1 0 1 0.001 ubs full 1 0.271425 0 0 0 0 2147483647 -1 13.986 NA NA -1 -1 -1 0.15485 6077 0.925909 0 0 0 1 NA 0 0 2ge 2048 262144 0.0682607 0.249568 0.0597296 0 32511 1 NA 0 32511 50 650.22 2.84 90.22 1 13 0 NA NA
weee-700-14-100-10 weee 700 14 244651 1 0 1 0.01 ubs full 1 0.24651 0 0 0 0 2147483647 -1 13.86 NA NA -1 -1 -1 0.178191 6077 0.925909 0 0 0 1 NA 0 0 2ge 2048 262144 0.0166513 0.222582 0.0112936 0 4891 1 NA 0 4891 36 135.861 1.02778 57.7222 1 1 0 NA NA
weee-700-14-100-10 weee 700 14 244651 1 0 1 0.05 ubs full 1 0.266182 0 0 0 0 2147483647 -1 13.3 NA NA -1 -1 -1 0.200424 6077 0.925909 0 0 0 1 NA 0 0 2ge 2048 262144 0.0055032 0.24691 0.00284281 0 1331 1 NA 0 1331 18 73.9444 0.666667 55.3889 0 0 0 NA NA
weee-400-11-100-10 weee 400 11 79801 1 0 1 0.001 ubs full 1 1.22906 0 0 0 0 2147483647 -1 10.989 NA NA -1 -1 -1 0.093894 2334 1.0053 0 0 0 1 NA 0 0 2ge 2048 262144 1.03489 1.13379 0.854771 0 466119 1 NA 0 466119 1216 383.322 1.39227 54.5929 36 147 36 NA NA
