            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType       time  ubAlg  umdpAlg     ubTime      ub     lb  p1  p2  p3    disp   dispReal    umdpTime  timeLastEC  ecTtb  ecIterTb  ecNumAlt  ecTime  ecInsertTime  ecNodes  lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
   weee-800-17-025-7          weee   800  17   319601  0.25         0     1  0.001    ubi      umdp    0.35379    ubi      fer   0.180909    9088    886   3   6  19    9088   0.992865     0.11834     0.11834      0         0         0       0             0        0       0          0        0         0        0        1             NA      0.0986748
  weee-2000-35-100-4          weee  2000  35  1998996     1         5     1  0.001    ubi      umdp    793.458    ubi      fer    3.51351   68462  16234   3   6  19   63471    1.05773     789.507     789.507      0         0         0       0             0        0       0          0        0         0        0     4997             NA       0.627146
 weee-2400-41-050-10          weee  2400  41  2878788   0.5        13     1  0.001    ubi      umdp    1248.33    ubi      fer    6.36738  103643    145   3   6  19   98466     1.0918     1241.28     1241.28      0         0         0       0             0        0       0          0        0         0        0     5195             NA       0.825891
 study-2800-47-000-9         study  2800  47       59     0   3918542     1  0.001    ubi      umdp    11.3486    ubi      fer    4.18347      31     13   3   9  15      19         31     5.36653     5.36653      0         0         0       0             0        0       0          0        0         0        0       13             NA        1.18157
  weee-3200-53-100-1          weee  3200  53  5118359     1        42     1  0.001    ubi      umdp    1367.67    ubi      fer    17.2774  168015  23204   3   6  19  164997    1.06067      1349.1      1349.1      0         0         0       0             0        0       0          0        0         0        0     3039             NA       0.866045
 study-4000-65-000-4         study  4000  65       60     0   7997941     1  0.001    ubi      umdp    26.7341    ubi      fer    12.6825      31     14   3   9  15      20         32     9.84657     9.84657      0         0         0       0             0        0       0          0        0         0        0       12             NA        1.58159
  weee-1600-29-075-6          weee  1600  29  1279198  0.75         3     1  0.001    ubi      umdp    257.519    ubi      fer    1.80162   44332   3903   3   6  19   41577    1.07343     255.475     255.475      0         0         0       0             0        0       0          0        0         0        0     2760             NA       0.632596
 study-3200-53-010-9         study  3200  53       61   0.1   5118340     1  0.001    ubi      umdp    15.5557    ubi      fer    6.35599      32     14   3   9  15      21         31     6.85118     6.85118      0         0         0       0             0        0       0          0        0         0        0       12             NA        1.59827
  weee-3600-59-075-4          weee  3600  59  6478145  0.75        56     1  0.001    ubi      umdp    1800.46    ubi      fer    26.2889  221389  41696   3   6  19   41696   0.460428     1772.61     1772.61      0         0         0       0             0        0       0          0        0         0        0     3027             NA       0.954144
  weee-2000-35-025-3          weee  2000  35  1998996  0.25         5     1  0.001    ubi      umdp    8.19652    ubi      fer    3.77006   62486  15181   3   6  19   62466    1.03662     3.91241     3.91241      0         0         0       0             0        0       0          0        0         0        0       21             NA       0.663527
  weee-2400-41-025-1          weee  2400  41  2878787  0.25        14     1  0.001    ubi      umdp    8.68896    ubi      fer    7.03271   87054   9317   3   6  19   87054    1.02686    0.909939    0.909939      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.696416
  weee-1200-23-100-5          weee  1200  23   719400     1         1     1  0.001    ubi      umdp   0.803604    ubi      fer   0.589647   17147   2570   3   6  19   17147   0.910504   0.0864831   0.0864831      0         0         0       0             0        0       0          0        0         0        0        1             NA      0.0387219
  weee-3200-53-025-9          weee  3200  53  5118362  0.25        39     1  0.001    ubi      umdp    1800.44    ubi      fer    17.1918  192066   4591   3   6  19    4591   0.168979      1781.9      1781.9      0         0         0       0             0        0       0          0        0         0        0     3901             NA       0.899096
 study-4000-65-010-8         study  4000  65       62   0.1   7997939     1  0.001    ubi      umdp    27.0194    ubi      fer    12.3068      32     14   3   9  15      20         31     10.4812     10.4812      0         0         0       0             0        0       0          0        0         0        0       13             NA        1.59394
 study-4000-65-010-3         study  4000  65       63   0.1   7997938     1  0.001    ubi      umdp    27.0821    ubi      fer    12.6394      33     14   3   9  15      21         31     10.3651     10.3651      0         0         0       0             0        0       0          0        0         0        0       13             NA        1.58133
 study-2800-47-000-1         study  2800  47       60     0   3918541     1  0.001    ubi      umdp    10.7041    ubi      fer    4.05991      30     13   3   9  15      19         31     4.92919     4.92919      0         0         0       0             0        0       0          0        0         0        0       12             NA        1.12086
 study-2400-41-000-7         study  2400  41       62     0   2878739     1  0.001    ubi      umdp    7.55915    ubi      fer    2.63018      30     13   3   9  15      19         31     3.67485     3.67485      0         0         0       0             0        0       0          0        0         0        0       12             NA       0.918717
study-2000-35-000-10         study  2000  35       58     0   1998943     1  0.001    ubi      umdp    4.71901    ubi      fer    1.54643      29      9   3   9  15      19         31     2.34558     2.34558      0         0         0       0             0        0       0          0        0         0        0       11             NA       0.671156
   weee-800-17-100-5          weee   800  17   319601     1         0     1  0.001    ubi      umdp   0.263667    ubi      fer   0.170568   10479   2172   3   6  19   10479    1.08147    0.043621    0.043621      0         0         0       0             0        0       0          0        0         0        0        1             NA      0.0261014
 study-3600-59-010-4         study  3600  59       62   0.1   6478139     1  0.001    ubi      umdp    20.7788    ubi      fer    8.97986      32     11   3   9  15      20         31     8.62025     8.62025      0         0         0       0             0        0       0          0        0         0        0       13             NA        1.61516
 study-3200-53-000-4         study  3200  53       59     0   5118342     1  0.001    ubi      umdp     14.943    ubi      fer    6.23851      30     14   3   9  15      19         31     6.37641     6.37641      0         0         0       0             0        0       0          0        0         0        0       12             NA        1.37352
  study-800-17-010-2         study   800  17       54   0.1    319547     1  0.001    ubi      umdp   0.659795    ubi      fer  0.0857166      23     12   3   9  15      16         31    0.495505    0.495505      0         0         0       0             0        0       0          0        0         0        0        8             NA       0.350851
 study-4000-65-000-8         study  4000  65       62     0   7997939     1  0.001    ubi      umdp    27.2105    ubi      fer    12.7238      32     13   3   9  15      20         31     10.3396     10.3396      0         0         0       0             0        0       0          0        0         0        0       13             NA        1.51316
 study-2400-41-000-4         study  2400  41       61     0   2878740     1  0.001    ubi      umdp    7.50642    ubi      fer     2.6498      30      9   3   9  15      19         31     3.66332     3.66332      0         0         0       0             0        0       0          0        0         0        0       12             NA       0.923407
 study-1200-23-000-8         study  1200  23       56     0    719345     1  0.001    ubi      umdp    1.42875    ubi      fer   0.276139      26     10   3   9  15      17         31     0.92672     0.92672      0         0         0       0             0        0       0          0        0         0        0       10             NA       0.402601
 study-2400-41-000-6         study  2400  41       59     0   2878742     1  0.001    ubi      umdp    7.27187    ubi      fer     2.6459      30     13   3   9  15      19         31     3.50438     3.50438      0         0         0       0             0        0       0          0        0         0        0       12             NA        0.83214
 weee-4000-65-075-10          weee  4000  65  7997920  0.75        81     1  0.001    ubi      umdp    1800.43    ubi      fer    38.0187  254456  22311   3   6  19   22311    0.30019      1760.2      1760.2      0         0         0       0             0        0       0          0        0         0        0     2471             NA        1.07221
 study-2400-41-010-9         study  2400  41       60   0.1   2878741     1  0.001    ubi      umdp    7.88243    ubi      fer    2.67224      31     12   3   9  15      20         31      3.8667      3.8667      0         0         0       0             0        0       0          0        0         0        0       12             NA       0.925492
