instance instanceType n m R beta duplDist seed alpha ubAlg testType tau time ttb iter iterTb bsSteps disp dispReal bal dispFirstFail balFirstFail dispFirstEC dispFirstECReal balFirstEC ubTime ub ubReal ecTime ecTimeMax ecNodes maxEcIter avgDispStep maxDispStep feasible balAlg th1 th2 balTime balTtb bbTime balTimeMax balNodes balCalls avgBalStep maxBalStep geNodes geNumBB avgBbNodes avgBbMoves avgBbDepth numMaxNodeIncr geDidReachTh2 balShakes balVnsShifts balVnsSwaps
weee-2800-47-100-1 weee 2800 47 3918579 1 22 1 0.05 ubs full 1 96.0658 83.024 2 1 12 98312 0.933467 0 103044 0.884439 98312 0.933467 80.9129 64.0804 134178 1.09855 1.37758 0.918255 6 1 47548 90364 1 2ge 2048 262144 28.6765 94.3972 16.6679 16.9753 5165788 15 69.5781 80.9129 5165788 4028 1282.47 2.10477 32.9801 4 2208 3 NA NA
weee-2800-47-100-2 weee 2800 47 3918567 1 34 1 0.001 ubs full 1 16.1637 0 0 0 0 2147483647 -1 46.953 NA NA -1 -1 -1 14.0255 139429 1.11599 0 0 0 1 NA 0 0 2ge 2048 262144 1.02266 15.7802 0.543837 0 160877 1 NA 0 160877 210 766.081 2.68571 119.21 1 63 0 NA NA
weee-2800-47-100-2 weee 2800 47 3918567 1 34 1 0.01 ubs full 1 15.5689 0 0 0 0 2147483647 -1 46.53 NA NA -1 -1 -1 14.0589 139429 1.11599 0 0 0 1 NA 0 0 2ge 2048 262144 0.375556 15.235 0.188074 0 48303 1 NA 0 48303 133 363.18 1.88722 80.5564 1 18 0 NA NA
weee-2800-47-100-2 weee 2800 47 3918567 1 34 1 0.05 ubs full 1 15.3669 0 0 0 0 2147483647 -1 44.65 NA NA -1 -1 -1 14.1823 139429 1.11599 0 0 0 1 NA 0 0 2ge 2048 262144 0.0607731 15.0831 0.00783939 0 3000 1 NA 0 3000 50 60 0.12 57.5 0 0 0 NA NA
weee-400-11-100-2 weee 400 11 79801 1 0 1 0.001 ubs full 1 0.967847 0 0 0 0 2147483647 -1 10.989 NA NA -1 -1 -1 0.0950383 2410 1.02263 0 0 0 1 NA 0 0 2ge 2048 262144 0.838389 0.942096 0.661474 0 376009 1 NA 0 376009 1167 322.201 1.22022 53.9726 36 136 36 NA NA
weee-3200-53-100-6 weee 3200 53 5118375 1 26 1 0.001 ubs full 1 23.5248 0 0 0 0 2147483647 -1 52.947 NA NA -1 -1 -1 20.6223 174055 1.08686 0 0 0 1 NA 0 0 2ge 2048 262144 1.33211 22.9433 0.585082 0 139518 1 NA 0 139518 229 609.249 2.34061 110.655 1 49 0 NA NA
weee-3200-53-100-6 weee 3200 53 5118375 1 26 1 0.01 ubs full 1 22.6586 0 0 0 0 2147483647 -1 52.47 NA NA -1 -1 -1 20.5949 174055 1.08686 0 0 0 1 NA 0 0 2ge 2048 262144 0.55378 22.2036 0.241251 0 66480 1 NA 0 66480 174 382.069 1.24138 82.6954 1 25 0 NA NA
weee-3200-53-100-6 weee 3200 53 5118375 1 26 1 0.05 ubs full 1 23.3592 0 0 0 0 2147483647 -1 50.35 NA NA -1 -1 -1 21.7638 174055 1.08686 0 0 0 1 NA 0 0 2ge 2048 262144 0.131965 22.9787 0.0251924 0 6328 1 NA 0 6328 94 67.3191 0.265957 61.3404 0 0 0 NA NA
weee-4000-65-025-6 weee 4000 65 7997903 0.25 98 1 0.001 ubs full 1 2473.31 1796.5 200 199 0 274843 1.09545 0 NA NA 198778 0.924274 6.83275 49.7944 291670 1.13021 282.692 46.0959 6475199 1 1369.73 198092 1 2ge 2048 262144 1418.46 1799.96 778.454 17.6348 25837452 201 0.35355 6.83275 25837452 104547 247.137 10.2413 7.28478 1 6206 2 NA NA
weee-4000-65-025-6 weee 4000 65 7997903 0.25 98 1 0.01 ubs full 1 1172.95 1092.97 274 273 0 276801 1.09966 0 NA NA 211958 0.95603 5.99887 51.2449 291670 1.13021 245.709 32.9964 5345938 1 1006.4 211014 1 2ge 2048 262144 738.946 1092.76 411.202 20.8943 15807696 275 0.166888 5.99887 15807696 55962 282.472 9.47845 7.54726 0 4256 0 NA NA
