instance n m beta time alpha nsolved ubi lbColor ub lb vs timelim memlim
weee-200-8-100-6 200 8 1 67.305645942688 0.001 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-300-5-025-6 300 5 0.25 8.59095096588135 0.05 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-025-6 300 5 0.25 8.59866309165955 0.01 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-025-6 300 5 0.25 8.66464710235596 0.001 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-050-6 300 5 0.5 8.51503205299377 0.05 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-050-6 300 5 0.5 8.70824885368347 0.01 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-050-6 300 5 0.5 8.71514391899109 0.001 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-075-6 300 5 0.75 8.73186707496643 0.05 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-075-6 300 5 0.75 8.77475714683533 0.01 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-075-6 300 5 0.75 8.82451701164246 0.001 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-100-6 300 5 1 8.55026388168335 0.05 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-100-6 300 5 1 8.71924805641174 0.01 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-5-100-6 300 5 1 8.9040858745575 0.001 1 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289476 0.455402438289475 0 0
weee-300-7-025-6 300 7 0.25 9.29823684692383 0.05 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-025-6 300 7 0.25 8.91970801353455 0.01 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-025-6 300 7 0.25 16.3568768501282 0.001 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-050-6 300 7 0.5 9.45312309265137 0.05 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-050-6 300 7 0.5 9.31045699119568 0.01 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-050-6 300 7 0.5 18.7481460571289 0.001 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-075-6 300 7 0.75 9.40896916389465 0.05 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-075-6 300 7 0.75 9.46202111244202 0.01 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-075-6 300 7 0.75 30.0056149959564 0.001 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-100-6 300 7 1 9.30343103408813 0.05 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-100-6 300 7 1 9.59828305244446 0.01 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-7-100-6 300 7 1 21.0739450454712 0.001 1 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0.776894992260859 0 0
weee-300-9-025-6 300 9 0.25 10.2170598506927 0.05 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-300-9-025-6 300 9 0.25 10.0468831062317 0.01 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
weee-300-9-025-6 300 9 0.25 13.9104599952698 0.001 1 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0.919560039638521 0 0
