            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau     time  umdpAlg     ubTime       ub     lb  p1  p2  p3    disp  dispReal  umdpTime  timeLastEC      ecTtb  ecIterTb  ecNumAlt   ecTime  ecInsertTime    ecNodes      lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
   weee-800-17-050-2          weee   800  17   319601   0.5         0     1  0.001   none      umdp    1     1800       ec   0.172857   319600   2790   4   8   8   10067   1.04106   1799.78     648.003   0.497395        20        22  1799.78       1799.51  442778057     0.04145         19      339       245       72        0             NA              0
   weee-400-11-075-9          weee   400  11    79801  0.75         0     1  0.001   none      umdp    1  16.6284       ec  0.0273177    79800    626   4   8   8    1808  0.871153   16.5882     8.48785  0.0428525         0         2  16.5876       16.5849    6163788  0.00259142          1       48        38        8        0             NA              0
  weee-4000-65-025-7          weee  4000  65  7997904  0.25        97     1  0.001   none      umdp    1  1800.03       ec    36.7097  7997903  56141   4   8   8  285362   1.11587    1761.3     466.158    1333.85       641       642  1761.25       1520.03   82826545     8.63425        496     5210      2021     2547        0             NA              0
  weee-800-17-100-10          weee   800  17   319601     1         0     1  0.001   none      umdp    1  793.442       ec   0.176834   319600    991   4   8   8    9439   1.01164   793.205     394.904   0.494813        14        16  793.202       792.946  182168225   0.0593899         14      380       305       59        0             NA              0
  weee-3200-53-050-5          weee  3200  53  5118377   0.5        24     1  0.001   none      umdp    1  1800.02       ec    17.2749  5118376  54382   4   8   8  161927    1.0507   1781.55     1460.85    339.151       136       138  1781.52       1746.86  121217986     2.83461        114     2534      1443      953        0             NA              0
  weee-2400-41-100-3          weee  2400  41  2878789     1        12     1  0.001   none      umdp    1  1800.02       ec    6.45286  2878788   3879   4   8   8   84857   1.01318   1792.97     1784.07    15.9385        29        30  1792.94       1787.99  169305210      1.0568         29     1602      1227      345        0             NA              0
  weee-2400-41-075-6          weee  2400  41  2878792  0.75         9     1  0.001   none      umdp    1  1800.02       ec    6.44841  2878791   5532   4   8   8   80192  0.981346   1792.94     1789.03    10.9745        23        24  1792.91       1789.17  167570340    0.678096         23     1061       810      227        0             NA              0
   weee-400-11-025-4          weee   400  11    79801  0.25         0     1  0.001   none      umdp    1  16.7372       ec  0.0273432    79800    808   4   8   8    1990  0.925352   16.6971     8.33957  0.0486859         2         4  16.6965       16.6881    6273224  0.00267386          3       46        34        8        0             NA              0
  study-400-11-000-5         study   400  11       51     0     79750     1  0.001   none      umdp    1  49.7006       ec  0.0128378       50     10   4   8   8      15        31   49.6727     38.1942  0.0778933        13        17   49.672       49.6173   10098158  0.00882722         13      140       114        9        0             NA              0
  weee-3600-59-025-4          weee  3600  59  6478145  0.25        56     1  0.001   none      umdp    1  1800.03       ec    25.5488  6478144  22314   4   8   8  219332   1.09237   1772.89     33.8853    1766.12       307       308  1772.85       1678.92  107322281     5.24031        260     3787      1645     1834        0             NA              0
  weee-2800-47-100-3          weee  2800  47  3918567     1        34     1  0.001   none      umdp    1  1800.03       ec    10.4956  3918566    989   4   8   8  125985   1.06528   1788.63     1015.69    784.306       153       155  1788.59       1758.57  134536484     2.26866        130     2689      1834      700        0             NA              0
  weee-4000-65-100-1          weee  4000  65  7997895     1       106     1  0.001   none      umdp    1  1800.05       ec    36.6443  7997894   3542   4   8   8  265952   1.07899   1761.45     1282.03    517.973       306       308  1761.38        1642.4   89251378     7.33362        258     5262      3181     1773        0             NA              0
  weee-1200-23-075-2          weee  1200  23   719401  0.75         0     1  0.001   none      umdp    1  769.665       ec   0.568763   719400   2195   4   8   8   20401  0.992155   768.963     383.111    1.77015        24        26  768.958       767.982  111393324    0.157811         25      643       516      101        0             NA              0
