            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal   ubRbTime  ubRbIterToBest      ubrbTtb   ubRbAvgCons  ubRbMinCons  ubRbAvg    ubRb  ubRbReal  ubsTime  ubsSigma  ubsSubsetSize  ubsIter  ubsTtb  ubsBsIter  ubsIterToBest  bsNumColorCalls  ubsAvgColorTime  ubs  ubsReal
  weee-2400-41-075-3          weee  2400  41  2878789  0.75        12     1  0.001   ubrb        ub    1    22.9041       NA             NA      NA          NA          NA      NA   NA       NA   22.90406            4131      16.5195  144212.33333        84857  0.00000   84857   1.01318       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1600-29-000-3         study  1600  29       56     0   1279145     1  0.001   ubrb        ub    1    4.78897       NA             NA      NA          NA          NA      NA   NA       NA    4.78892            1703     0.307707      24.67438           23  0.00000      23  37.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-000-9         study  1200  23       58     0    719343     1  0.001   ubrb        ub    1    1.86136       NA             NA      NA          NA          NA      NA   NA       NA    1.86131            1420     0.345089      26.05667           24  0.00000      24  36.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-4000-65-050-5          weee  4000  65  7997903   0.5        98     1  0.001   ubrb        ub    1    161.842       NA             NA      NA          NA          NA      NA   NA       NA  161.84240            4618      24.9537  399627.96875       290036  0.00000  290036   1.12844       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-075-4          weee  2800  47  3918573  0.75        28     1  0.001   ubrb        ub    1    41.3352       NA             NA      NA          NA          NA      NA   NA       NA   41.33513            2841     0.620945  199253.59036       143753  0.00000  143753   1.13719       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-4000-65-010-3         study  4000  65       63   0.1   7997938     1  0.001   ubrb        ub    1    116.895       NA             NA      NA          NA          NA      NA   NA       NA  116.89453            4100       2.9028      29.61700           28  0.00000      28  38.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-050-2          weee  2800  47  3918567   0.5        34     1  0.001   ubrb        ub    1    40.9816       NA             NA      NA          NA          NA      NA   NA       NA   40.98156            3167      5.35624  197229.80536       145357  0.00000  145357   1.14086       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-100-3          weee  1200  23   719398     1         3     1  0.001   ubrb        ub    1    1.86844       NA             NA      NA          NA          NA      NA   NA       NA    1.86839            1455     0.395764   36622.03083        23499  0.00000   23499   1.07397       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3600-59-100-4          weee  3600  59  6478145     1        56     1  0.001   ubrb        ub    1    109.539       NA             NA      NA          NA          NA      NA   NA       NA  109.53944            3620      0.58101  322821.93472       230731  0.00000  230731   1.12166       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-010-9         study  1200  23       58   0.1    719343     1  0.001   ubrb        ub    1     1.8528       NA             NA      NA          NA          NA      NA   NA       NA    1.85275            1420     0.343728      26.05667           24  0.00000      24  36.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
