            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal     ubsTime  ubsSigma  ubsSubsetSize  ubsIter     ubsTtb  ubsBsIter  ubsIterToBest  ubsNumImproves  ubsNumColorCalls  ubsAvgColorTime     ubs   ubsReal
  weee-400-11-100-28          weee   400  11    79801     1         0     1  0.001    ubs        ub    1  0.0844519       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.08441      1.05             14       28          0          0             -1               0                28          0.00180    2536   1.07750
study-2000-35-010-27         study  2000  35       57   0.1   1998944     1  0.001    ubs        ub    1    1.97548       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     1.97544      1.05             38       76    1.77467         20             42               4                96          0.00161      24  37.00000
  weee-400-11-100-15          weee   400  11    79801     1         0     1  0.001    ubs        ub    1  0.0896241       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.08958      1.05             14       28          0          0             -1               0                28          0.00202    2532   1.05158
 weee-2400-41-100-30          weee  2400  41  2878793     1         8     1  0.001    ubs        ub    1    7.67283       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     7.67280      1.05             44       88          0          0             -1               0                88          0.00139   95768   1.08284
 study-400-11-010-18         study   400  11       52   0.1     79749     1  0.001    ubs        ub    1  0.0753899       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.07535      1.05             14       28   0.032761          5              5               1                33          0.00170      20  35.00000
 weee-1600-29-100-29          weee  1600  29  1279199     1         2     1  0.001    ubs        ub    1    2.04156       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.04152      1.05             32       64          0          0             -1               0                64          0.00152   39937   1.04907
 weee-2400-41-100-22          weee  2400  41  2878786     1        15     1  0.001    ubs        ub    1    7.73629       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     7.73624      1.05             44       88          0          0             -1               0                88          0.00163   98873   1.09890
study-2000-35-010-29         study  2000  35       56   0.1   1998945     1  0.001    ubs        ub    1    2.03759       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.03755      1.05             38       76    1.61095         20              4               4                96          0.00164      24  37.00000
study-1200-23-010-24         study  1200  23       58   0.1    719343     1  0.001    ubs        ub    1   0.437805       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.43777      1.05             26       52   0.317882         15              8               3                67          0.00138      23  36.00000
  weee-800-17-100-23          weee   800  17   319601     1         0     1  0.001    ubs        ub    1   0.226831       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.22679      1.05             20       40          0          0             -1               0                40          0.00137    8998   0.96880
study-1600-29-010-21         study  1600  29       59   0.1   1279142     1  0.001    ubs        ub    1    1.10909       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     1.10906      1.05             32       64   0.837588         20              4               4                84          0.00143      24  37.00000
 weee-3200-53-100-24          weee  3200  53  5118369     1        32     1  0.001    ubs        ub    1    18.7238       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    18.72369      1.05             56      112          0          0             -1               0               112          0.00201  173231   1.08568
study-3600-59-010-16         study  3600  59       62   0.1   6478139     1  0.001    ubs        ub    1    11.0451       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    11.04504      1.05             62      124    9.82309         21             34               4               145          0.00161      27  38.00000
study-4000-65-010-29         study  4000  65       62   0.1   7997939     1  0.001    ubs        ub    1    15.7814       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    15.78132      1.05             68      136    12.9613         21              4               4               157          0.00188      27  38.00000
 weee-2000-35-100-29          weee  2000  35  1998993     1         8     1  0.001    ubs        ub    1    4.09654       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.09650      1.05             38       76          0          0             -1               0                76          0.00162   66949   1.07919
 study-800-17-010-26         study   800  17       54   0.1    319547     1  0.001    ubs        ub    1   0.202393       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.20235      1.05             20       40   0.114475         10              2               2                50          0.00164      21  36.00000
  weee-400-11-100-12          weee   400  11    79801     1         0     1  0.001    ubs        ub    1  0.0767645       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.07672      1.05             14       28          0          0             -1               0                28          0.00173    2268   0.99318
 study-800-17-010-18         study   800  17       55   0.1    319546     1  0.001    ubs        ub    1   0.155366       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.15533      1.05             20       40  0.0924015         10              2               2                50          0.00120      22  36.00000
study-4000-65-010-16         study  4000  65       62   0.1   7997939     1  0.001    ubs        ub    1     15.946       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    15.94594      1.05             68      136    13.4375         21              4               4               157          0.00225      27  38.00000
 study-800-17-010-29         study   800  17       56   0.1    319545     1  0.001    ubs        ub    1   0.183256       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.18321      1.05             20       40   0.105359         10              2               2                50          0.00145      23  36.00000
 study-400-11-010-20         study   400  11       50   0.1     79751     1  0.001    ubs        ub    1  0.0721418       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.07211      1.05             14       28  0.0594305         10             18               2                38          0.00134      18  34.00000
  weee-400-11-100-11          weee   400  11    79801     1         0     1  0.001    ubs        ub    1  0.0618705       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.06183      1.05             14       28          0          0             -1               0                28          0.00128    1948   0.91924
 weee-1600-29-100-24          weee  1600  29  1279196     1         5     1  0.001    ubs        ub    1    2.04435       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.04430      1.05             32       64          0          0             -1               0                64          0.00161   38226   1.02379
study-1200-23-010-27         study  1200  23       56   0.1    719345     1  0.001    ubs        ub    1   0.438696       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.43865      1.05             26       52   0.300613         20              4               4                72          0.00158      23  36.00000
 weee-1200-23-100-21          weee  1200  23   719401     1         0     1  0.001    ubs        ub    1   0.730796       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.73076      1.05             26       52          0          0             -1               0                52          0.00152   18188   0.93452
 weee-2000-35-100-11          weee  2000  35  1998999     1         2     1  0.001    ubs        ub    1    4.31206       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.31200      1.05             38       76          0          0             -1               0                76          0.00194   63748   1.05618
 weee-1600-29-100-28          weee  1600  29  1279197     1         4     1  0.001    ubs        ub    1    2.06778       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.06774      1.05             32       64          0          0             -1               0                64          0.00156   36300   0.99103
 study-800-17-010-11         study   800  17       55   0.1    319546     1  0.001    ubs        ub    1   0.202981       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.20294      1.05             20       40   0.139078         15             12               3                55          0.00169      21  35.00000
study-2800-47-010-28         study  2800  47       60   0.1   3918541     1  0.001    ubs        ub    1      5.771       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     5.77095      1.05             50      100    5.75681         26             99               5               126          0.00214      26  37.00000
  weee-800-17-100-18          weee   800  17   319601     1         0     1  0.001    ubs        ub    1   0.284627       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.28459      1.05             20       40          0          0             -1               0                40          0.00209    8749   0.97648
study-3600-59-010-19         study  3600  59       61   0.1   6478140     1  0.001    ubs        ub    1    13.4789       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    13.47882      1.05             62      124    12.3219         26             57               5               150          0.00222      27  38.00000
study-1600-29-010-24         study  1600  29       58   0.1   1279143     1  0.001    ubs        ub    1    1.24522       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     1.24517      1.05             32       64   0.957243         25              7               5                89          0.00198      22  36.00000
 weee-2800-47-100-13          weee  2800  47  3918577     1        24     1  0.001    ubs        ub    1    12.5933       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    12.59328      1.05             50      100          0          0             -1               0               100          0.00232  147051   1.14190
 weee-1200-23-100-30          weee  1200  23   719400     1         1     1  0.001    ubs        ub    1   0.742108       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.74206      1.05             26       52          0          0             -1               0                52          0.00195   21598   1.02505
 weee-3600-59-100-19          weee  3600  59  6478131     1        70     1  0.001    ubs        ub    1    28.5457       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    28.54570      1.05             62      124          0          0             -1               0               124          0.00159  231429   1.11505
study-2800-47-010-20         study  2800  47       60   0.1   3918541     1  0.001    ubs        ub    1    5.58327       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     5.58322      1.05             50      100    4.59188         15              3               3               115          0.00197      26  38.00000
study-3600-59-010-13         study  3600  59       62   0.1   6478139     1  0.001    ubs        ub    1    12.3822       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    12.38213      1.05             62      124    10.3857         21              9               4               145          0.00232      27  38.00000
 study-800-17-010-19         study   800  17       54   0.1    319547     1  0.001    ubs        ub    1   0.223895       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.22385      1.05             20       40   0.165761         15             20               3                55          0.00214      21  35.00000
 study-400-11-010-12         study   400  11       52   0.1     79749     1  0.001    ubs        ub    1   0.103411       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.10335      1.05             14       28  0.0296357          5              1               1                33          0.00247      19  34.00000
 weee-3600-59-100-14          weee  3600  59  6478136     1        65     1  0.001    ubs        ub    1    29.2898       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    29.28980      1.05             62      124          0          0             -1               0               124          0.00198  210356   1.06636
 weee-3200-53-100-20          weee  3200  53  5118368     1        33     1  0.001    ubs        ub    1     19.571       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    19.57094      1.05             56      112          0          0             -1               0               112          0.00164  161712   1.04778
study-2000-35-010-26         study  2000  35       58   0.1   1998943     1  0.001    ubs        ub    1    2.15107       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.15101      1.05             38       76    1.68438         15             14               3                91          0.00237      25  37.00000
 weee-3600-59-100-18          weee  3600  59  6478146     1        55     1  0.001    ubs        ub    1    28.2331       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    28.23302      1.05             62      124          0          0             -1               0               124          0.00217  215915   1.07871
study-1200-23-010-30         study  1200  23       55   0.1    719346     1  0.001    ubs        ub    1   0.507958       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.50791      1.05             26       52   0.328559         15              3               3                67          0.00205      22  36.00000
 weee-1200-23-100-16          weee  1200  23   719401     1         0     1  0.001    ubs        ub    1   0.752647       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.75261      1.05             26       52          0          0             -1               0                52          0.00170   16191   0.88202
 weee-2800-47-100-16          weee  2800  47  3918569     1        32     1  0.001    ubs        ub    1     11.709       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    11.70893      1.05             50      100          0          0             -1               0               100          0.00154  123402   1.05064
  weee-400-11-100-13          weee   400  11    79801     1         0     1  0.001    ubs        ub    1  0.0648288       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.06479      1.05             14       28          0          0             -1               0                28          0.00132    2280   1.00099
 weee-3200-53-100-26          weee  3200  53  5118356     1        45     1  0.001    ubs        ub    1     19.456       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    19.45592      1.05             56      112    17.8189         18              2               1               130          0.00180  186985   1.13462
