            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal     ubsTime  ubsSigma  ubsSubsetSize  ubsIter     ubsTtb  ubsBsIter  ubsIterToBest  ubsNumImproves  ubsNumColorCalls  ubsAvgColorTime     ubs   ubsReal
  weee-2800-47-025-9          weee  2800  47  3918580  0.25        21     1  0.001    ubs        ub    1    14.4974       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    14.49735       1.5             70      140          0          0             -1               0               140          0.00201  124723   1.05734
 weee-3600-59-075-10          weee  3600  59  6478145  0.75        56     1  0.001    ubs        ub    1    31.3686       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    31.36859       1.5             88      176    26.5121         17              1               1               193          0.00595  210018   1.06402
   weee-800-17-050-2          weee   800  17   319601   0.5         0     1  0.001    ubs        ub    1   0.359156       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.35908       1.5             25       50          0          0             -1               0                50          0.00204   10067   1.04106
   weee-400-11-075-9          weee   400  11    79801  0.75         0     1  0.001    ubs        ub    1   0.107545       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.10748       1.5             16       32          0          0             -1               0                32          0.00222    1808   0.87115
  weee-4000-65-025-7          weee  4000  65  7997904  0.25        97     1  0.001    ubs        ub    1    1800.02       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA  1800.01636       1.5             97        1    1800.02         10              1               1                10        176.15068  294592   1.13496
  weee-800-17-100-10          weee   800  17   319601     1         0     1  0.001    ubs        ub    1   0.347018       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.34695       1.5             25       50          0          0             -1               0                50          0.00206    9439   1.01164
  weee-3200-53-050-5          weee  3200  53  5118377   0.5        24     1  0.001    ubs        ub    1    1800.01       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA  1800.01170       1.5             79       73    1800.01         50             73               3               122         14.59921  161955   1.05079
  weee-2400-41-100-3          weee  2400  41  2878789     1        12     1  0.001    ubs        ub    1    8.63979       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     8.63974       1.5             61      122          0          0             -1               0               122          0.00171   84857   1.01318
  weee-2400-41-075-6          weee  2400  41  2878792  0.75         9     1  0.001    ubs        ub    1    7.94024       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     7.94018       1.5             61      122          0          0             -1               0               122          0.00172   80192   0.98135
   weee-400-11-025-4          weee   400  11    79801  0.25         0     1  0.001    ubs        ub    1  0.0699055       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.06986       1.5             16       32          0          0             -1               0                32          0.00112    1990   0.92535
  study-400-11-000-5         study   400  11       51     0     79750     1  0.001    ubs        ub    1  0.0601264       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.06008       1.5             16       32  0.0245625          5              1               1                37          0.00106      18  34.00000
  weee-3600-59-025-4          weee  3600  59  6478145  0.25        56     1  0.001    ubs        ub    1    38.2177       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    38.21762       1.5             88      176          0          0             -1               0               176          0.03713  221389   1.09771
  weee-2800-47-100-3          weee  2800  47  3918567     1        34     1  0.001    ubs        ub    1    766.091       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA   766.09107       1.5             70      140    138.936         17              1               1               157          4.80065  125985   1.06528
  weee-4000-65-100-1          weee  4000  65  7997895     1       106     1  0.001    ubs        ub    1    43.1257       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    43.12564       1.5             97      194          0          0             -1               0               194          0.00162  265952   1.07899
  weee-1200-23-075-2          weee  1200  23   719401  0.75         0     1  0.001    ubs        ub    1   0.850032       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.84998       1.5             34       68          0          0             -1               0                68          0.00164   20401   0.99216
  weee-2400-41-100-1          weee  2400  41  2878787     1        14     1  0.001    ubs        ub    1    8.07487       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     8.07482       1.5             61      122          0          0             -1               0               122          0.00150   87054   1.02686
  weee-4000-65-025-2          weee  4000  65  7997897  0.25       104     1  0.001    ubs        ub    1    115.607       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA   115.60674       1.5             97      194          0          0             -1               0               194          0.38299  301117   1.15000
   weee-400-11-050-5          weee   400  11    79801   0.5         0     1  0.001    ubs        ub    1  0.0926315       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.09258       1.5             16       32          0          0             -1               0                32          0.00177    2361   1.03687
