            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau        time   ubiTime  ubiIterToBest       ubiTtb    ubiAvgCons  ubiMinCons        ubiAvg     ubi   ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal  ubsTime  ubsSigma  ubsSubsetSize  ubsIter  ubsTtb  ubsBsIter  ubsIterToBest  bsNumColorCalls  ubsAvgColorTime  ubs  ubsReal
  weee-2400-41-075-3          weee  2400  41  2878789  0.75        12     1  0.001    ubi        ub    1     3.10925   3.10920           1086      1.40798  172867.44083       95465  148670.57250   84857   1.01318        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1600-29-000-3         study  1600  29       56     0   1279145     1  0.001    ubi        ub    1    0.386401   0.38636            229    0.0552691      33.50438          28      31.45000      27  41.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-000-9         study  1200  23       58     0    719343     1  0.001    ubi        ub    1    0.178633   0.17859            155    0.0241038      34.74333          29      32.50833      28  40.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-4000-65-050-5          weee  4000  65  7997903   0.5        98     1  0.001    ubi        ub    1     19.1225  19.12249            621      3.19528  472001.13400      290036  413116.75025  286621   1.12142        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-075-4          weee  2800  47  3918573  0.75        28     1  0.001    ubi        ub    1     5.32129   5.32123            161     0.298468  236230.47357      147344  204341.48179  141426   1.12771        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-4000-65-010-3         study  4000  65       63   0.1   7997938     1  0.001    ubi        ub    1     6.72219   6.72213           1322      2.16609      38.92675          33      37.40925      33  43.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-050-2          weee  2800  47  3918567   0.5        34     1  0.001    ubi        ub    1     5.36856   5.36851            167     0.313916  235545.67607      146644  203380.53286  140403   1.12016        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-100-3          weee  1200  23   719398     1         3     1  0.001    ubi        ub    1    0.373344   0.37329             23   0.00704536   46309.53250       24161   38206.50083   23499   1.07397        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3600-59-100-4          weee  3600  59  6478145     1        56     1  0.001    ubi        ub    1     12.5546  12.55457            140     0.458846  380960.45167      232960  332758.83250  221389   1.09771        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-010-9         study  1200  23       58   0.1    719343     1  0.001    ubi        ub    1    0.189737   0.18968            155    0.0253891      34.74333          29      32.50833      28  40.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
